epoch,step,train_loss,val_loss
0,881,1.6555759906768799,1.2413173913955688
1,1763,1.205147624015808,0.9956574440002441
2,2645,1.0220412015914917,0.8623248338699341
3,3527,0.9076301455497742,0.8078261017799377
4,4409,0.8387768864631653,0.7838740944862366
5,5291,0.7883936166763306,0.7675806879997253
6,6173,0.7521214485168457,0.7607547640800476
7,7055,0.7231828570365906,0.7250605225563049
8,7937,0.698066234588623,0.7152184247970581
9,8819,0.677535891532898,0.7303952574729919
10,9701,0.6603339910507202,0.7159380316734314
11,10583,0.644038736820221,0.7166338562965393
12,11465,0.6306905746459961,0.7120847702026367
13,12347,0.6181192398071289,0.7042732834815979
14,13229,0.6074570417404175,0.7318608164787292
15,14111,0.5969905257225037,0.7308679819107056
16,14993,0.5872969627380371,0.7451311349868774
17,15875,0.5791012048721313,0.764559805393219
