epoch,step,train_loss,val_loss
0,440,1.6809802055358887,1.1970974206924438
1,881,1.1709637641906738,0.9867622256278992
2,1322,1.0114582777023315,0.8573598265647888
3,1763,0.8991574645042419,0.7591937184333801
4,2204,0.8065849542617798,0.6979110836982727
5,2645,0.7338154315948486,0.6331362128257751
6,3086,0.6786046028137207,0.6023498177528381
7,3527,0.6367968320846558,0.5614514350891113
8,3968,0.6023750901222229,0.5417945981025696
9,4409,0.5750897526741028,0.5165643095970154
10,4850,0.5523253083229065,0.49322137236595154
11,5291,0.531955361366272,0.4825887084007263
12,5732,0.5149372220039368,0.471361368894577
13,6173,0.49939629435539246,0.46546003222465515
14,6614,0.4864521026611328,0.4435839354991913
15,7055,0.4737863540649414,0.4384279251098633
16,7496,0.4623923599720001,0.44029444456100464
17,7937,0.45177310705184937,0.43873611092567444
18,8378,0.4438275992870331,0.42932936549186707
